course_id,course_title,url,level,skills
366720,CSS Image filters - The modern web images color manipulation,https://www.udemy.com/super-awesome-images-with-css-image-filters/,All Levels,['CSS Image']
554136,Building Responsive Websites with Bootstrap 3 Framework,https://www.udemy.com/building-responsive-websites-with-bootstrap-3-framework/,Intermediate Level,['Bootstrap 3 Framework']
455680,Create a Membership Site with Wishlist Member & Wordpress,https://www.udemy.com/create-a-membership-site-with-wishlist-member/,All Levels,"['Create a Membership Site', 'Wishlist Member & Wordpress']"
667744,Convert HTML Websites into PHP: Learn by Doing in 40 Minutes,https://www.udemy.com/convert-static-websites-from-html-to-php-for-web-designers/,All Levels,"['HTML', 'PHP']"
516790,HTML and CSS: A Guide to Web Design,https://www.udemy.com/html-and-css-a-guide-to-web-design/,All Levels,"['CSS', 'HTML']"
939536,Learn basics of HTML in 30 Minutes,https://www.udemy.com/learn-basics-of-html/,Beginner Level,['HTML']
368908,JavaScript from Scratch for Very Beginners,https://www.udemy.com/javascript-basics-for-begginers/,Beginner Level,['JavaScript']
943386,CSS :basics for beginners,https://www.udemy.com/learn-css-fast/,All Levels,['CSS']
576054,"WordPress Development - Themes, Plugins & Single Page Apps",https://www.udemy.com/wordpress-development-create-wordpress-themes-and-plugins/,Intermediate Level,['WordPress Development - Themes']
392526,Learn Effective HTML in No Time!,https://www.udemy.com/learn-effective-html-in-no-time/,All Levels,['HTML']
258886,HTML5 Geolocation in Depth:Build 7 HTML5 Geolocation Apps,https://www.udemy.com/html5-geolocation-in-depth-build-location-aware-applications/,All Levels,['HTML5 Geolocation']
155640,Building a Search Engine in PHP & MySQL,https://www.udemy.com/creating-a-search-engine-in-php/,All Levels,"['PHP & MySQL', 'PHP']"
826568,Fundamentals of Angular 2 Full Stack Design,https://www.udemy.com/fundamentals-of-angular-2-full-stack-design/,Beginner Level,['Angular']
665686,Create Newsletter Subscription Form with PHP/AJAX in 40 Min,https://www.udemy.com/php-ajax-form-with-validation-email-ip-tracking-in-40-minutes/,All Levels,"['Create Newsletter Subscription Form', 'PHP', 'PHP/AJAX']"
969348,AppML :basics for beginners,https://www.udemy.com/appml-basics-for-beginners/,All Levels,['AppML']
599628,How to manage your own VPS and create websites,https://www.udemy.com/manage-vps/,All Levels,['VPS']
403106,Learn BuddyPress: Build A Social Network with WordPress,https://www.udemy.com/learn-buddypress-build-a-social-network-with-wordpress/,All Levels,['WordPress']
145812,HTML FOR BEGINNERS,https://www.udemy.com/html-5-for-beginners/,All Levels,['HTML']
845794,Advance JavaScript for Coders: Learn OOP in JavaScript,https://www.udemy.com/advance-javascript-for-coders-learn-oop-in-javascript/,Intermediate Level,['JavaScript']
422012,Querying Microsoft SQL Server 2012 - (Exam No. 70-461),https://www.udemy.com/querying-sql-server-2012-70-461/,All Levels,"['SQL', 'Microsoft']"
253246,Core Concepts in HTML 5,https://www.udemy.com/core-concepts-in-html-5/,Beginner Level,['HTML']
25615,Login and Registration from Scratch with PHP and MySQL,https://www.udemy.com/authentication-from-scratch-with-php-and-mysql/,Intermediate Level,['PHP']
858762,Rails Ecommerce App with HTML Template from Themeforest,https://www.udemy.com/rails-ecommerce-app-with-html-template-from-themeforest/,Intermediate Level,['HTML']
288258,"Learn to Code in HTML5, CSS3, and JavaScript",https://www.udemy.com/learn-to-code-in-html5-css3-and-javascript/,Beginner Level,"['JavaScript', 'CSS3']"
529028,WordPress Plugin Development for 2017 - Build 14 Plugins,https://www.udemy.com/advanced-wordpress-development-take-control-of-the-back-end/,All Levels,['WordPress Plugin Development']
563880,Single Page Application of MVC 5 Using AngularJS,https://www.udemy.com/maruti-spa-angularjs/,Intermediate Level,['Single Page Application']
1031626,Bootstrap 4 Responsive Web Design and Development,https://www.udemy.com/bootstrap-4-responsive-web-design-and-development/,Beginner Level,['Bootstrap 4 Responsive Web Design and Development']
399640,Intro To HTML & CSS: Web Development For Beginners,https://www.udemy.com/intro-to-html-and-css-basics/,Beginner Level,"['HTML & CSS', 'Intro', 'HTML']"
50522,Become Exceptional in HTML and HTML5,https://www.udemy.com/become-exceptional-in-html-html5/,All Levels,"['Become Exceptional', 'HTML']"
554570,"Building a Portfolio in 90 minutes ( HTML, CSS, Js ) ",https://www.udemy.com/build-a-portfolio-website-in-90-minutes-html-css-js/,All Levels,"['CSS', 'HTML']"
169144,How to easily Manage your WordPress Website,https://www.udemy.com/manage-wordpress-website/,Beginner Level,"['Manage', 'WordPress']"
58653,How to Build a CMS with PHP,https://www.udemy.com/make-a-cms/,Beginner Level,"['PHP', 'CMS']"
533416,Build Powerful Websites & Blogs using WordPress - No Coding,https://www.udemy.com/powerful-websites-blogs-using-wordpress-no-coding/,Beginner Level,['Build Powerful Websites & Blogs']
823996,"Full Stack JavaScript: Learn Backbone.js, Node.js & MongoDB",https://www.udemy.com/fullstack-javascript/,Beginner Level,['Node.js & MongoDB']
564366,"Ajax in JavaScript and JQuery, with PHP - Creating Chat App",https://www.udemy.com/ajax-in-javascript-and-jquery-with-php/,All Levels,"['PHP - Creating Chat App', 'JavaScript', 'JQuery', 'PHP']"
1124280,PHP Tutorial: Learn PHP Basic Programming for Beginners,https://www.udemy.com/php-tutorial-beginners/,Beginner Level,['PHP']
769390,Angular 2 Master Class with Alejandro Rangel,https://www.udemy.com/angular-2-master-class-with-alejandro-rangel/,All Levels,['Angular']
149042,JavaScript for Absolute Beginners,https://www.udemy.com/javascript-for-absolute-beginners/,Beginner Level,['JavaScript']
1207382,Optimizing Wordpress for More Speed and Revenue,https://www.udemy.com/optimizing-wordpress-for-more-speed-and-revenue/,Intermediate Level,['Optimizing Wordpress']
628430,JavaScript project Learn to create a memory Game and more,https://www.udemy.com/javascript-project-learn-to-create-a-memory-game-and-more/,Beginner Level,"['JavaScript', 'Learn']"
846210,Learn HTML in 2 hours!,https://www.udemy.com/learn-html5-in-2-hours/,Beginner Level,['HTML']
611688,PSD to Bootstrap 3 for Beginners using HTML & CSS,https://www.udemy.com/psd-to-bootstrap/,Beginner Level,"['HTML & CSS', 'HTML']"
527834,"HTML5, CSS3 & Bootstrap - How to Create a Responsive Website",https://www.udemy.com/html5-css3-bootstrap-how-to-create-a-responsive-website/,All Levels,['CSS3 & Bootstrap - How to']
56513,Social Network Web Development,https://www.udemy.com/how-to-create-a-social-network-site-from-scratch/,All Levels,['Social Network Web Development']
311538,Foundations of Front-End Web Development,https://www.udemy.com/foundations-of-front-end-development/,Beginner Level,['Front-End Web Development']
394832,Fun and creative web engineering with Python and Web2py,https://www.udemy.com/web-engineering-with-python-and-web2py/,All Levels,['Python']
661780,JavaScript Promises: Applications in ES6 and AngularJS,https://www.udemy.com/javascript-promises-applications-in-es6-and-angularjs/,Beginner Level,['JavaScript']
41356,Create a Responsive Business Website with WordPress,https://www.udemy.com/creating-a-business-website-with-a-responsive-design/,All Levels,"['Create a Responsive Business Website', 'WordPress']"
82412,Intro to PHP Web Application Development with Symfony,https://www.udemy.com/symfony-development/,Beginner Level,"['PHP Web Application Development', 'Intro', 'PHP']"
1054814,Learn to Create Responsive Layouts in 30 Minutes,https://www.udemy.com/learn-to-create-responsive-layouts-in-30-minutes/,Beginner Level,['Create Responsive Layouts']
963412,Building Websites JavaScript and the DOM,https://www.udemy.com/building-websites-learn-javascript-and-the-dom/,Beginner Level,"['JavaScript', 'DOM']"
607056,JavaScript Introduction to Object Oriented JavaScript,https://www.udemy.com/javascript-introduction-to-object-oriented-javascript/,Beginner Level,['JavaScript Introduction']
1178394,Devtools 2017: The Basics of Chrome Developer Tools,https://www.udemy.com/devtools-2017-the-basics-of-chrome-developer-tools/,Beginner Level,['The Basics of Chrome Developer Tools']
1115348,"Full stack Universal React with Redux, Node js and MongoDB",https://www.udemy.com/full-stack-universal-react-with-redux-express-and-mongodb/,Intermediate Level,['Universal React']
576694,Ultimate WordPress Plugin Course,https://www.udemy.com/wordpress-plugin-course/,All Levels,['Ultimate WordPress Plugin Course']
527952,PHP for Beginners: How to Build an E-Commerce Store,https://www.udemy.com/php-for-beginners-how-to-build-an-ecommerce-store/,All Levels,['PHP']
745306,"Build Realtime Apps | React Js, Golang & RethinkDB",https://www.udemy.com/realtime-apps-with-reactjs-golang-rethinkdb/,All Levels,"['React JS', 'Golang & RethinkDB']"
941998,"Master Electron: Desktop Apps using HTML, JavaScript & CSS",https://www.udemy.com/master-electron/,Intermediate Level,"['HTML', 'JavaScript & CSS']"
1204208,Mastering Micro Services Using Java Spring Boot,https://www.udemy.com/mastering-micro-services-using-java-sprint-boot/,All Levels,['Mastering Micro Services']
957422,How to Create A Website: An HTML Tutorial and CSS Tutorial,https://www.udemy.com/html-tutorial/,All Levels,['HTML']
30318,Learning JavaScript Programming Tutorial. A Definitive Guide,https://www.udemy.com/programming-javascript/,All Levels,['Definitive Guide']
1270392,"The Complete JavaScript, HTML and CSS Tutorial For Beginners",https://www.udemy.com/the-complete-javascript-html-and-css-tutorial-for-beginners/,Beginner Level,"['CSS Tutorial For Beginners', 'HTML']"
991094,"Build Modern Responsive Website With HTML5, CSS3 & Bootstrap",https://www.udemy.com/build-modern-responsive-website-with-html5-css3-bootstrap/,All Levels,"['CSS3 & Bootstrap', 'Build Modern Responsive']"
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,All Levels,"['Investment', 'Ultimate Investment Banking Course']"
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,All Levels,"['GST', 'Complete GST Course & Certification - Grow']"
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,Intermediate Level,"['Financial Modeling', 'Financial Modeling for Business Analysts and Consultants']"
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,All Levels,"['Financial Analysis', 'Pro - Financial Analysis', 'Excel']"
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,Intermediate Level,"['Trading Options', 'Trading']"
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,All Levels,['Trading']
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,Beginner Level,['Trading']
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,All Levels,['Trading']
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,Expert Level,"['Trading', 'Advanced Stock Profit', 'Options Trading']"
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,All Levels,['Investment']
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,All Levels,"['Amazon', 'Forex Trading', 'Forex Trading Secrets of the Pros With', 'Trading']"
975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,All Levels,"['Trading Options', 'Trading']"
742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,All Levels,['Financial Management Risk']
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,All Levels,"['Trading', 'Forex Trading']"
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,All Levels,"['Python', 'Trading']"
719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,Beginner Level,['Basic Technical Analysis']
564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,All Levels,"['The Complete Chart Pattern Trading Course', 'Trading']"
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,All Levels,"['Trading', 'Forex Trading']"
798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,All Levels,"['Forex Traders - Create Your First Trading Robot', 'Trading']"
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,All Levels,['Trading']
812,Data Analysis and Interpretation,https://www.coursera.org/specializations/data-analysis,SPECIALIZATION,['Data Analysis']
39,Data Analysis and Presentation Skills: the PwC Approach,https://www.coursera.org/specializations/pwc-analytics,SPECIALIZATION,['Data Analysis and Presentation skills']
277,Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python,COURSE,['Data Analysis']
605,Data Analytics for Lean Six Sigma,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma,COURSE,['Data Analytics']
783,Data Collection and Processing with Python,https://www.coursera.org/programs/kiron-open-higher-education-learning-program-55mz5/learn/data-collection-processing-python?specialization=python-3-programming,COURSE,['Data Collection']
679,Data Engineering on Google Cloud Platform 日本語版,https://www.globalknowledge.com/us-en/course/162106/data-engineering-on-google-cloud-platform/,SPECIALIZATION,['Data Engineering']
22,Data Engineering with Google Cloud,https://www.oreilly.com/library/view/data-engineering-with/9781800561328/,PROFESSIONAL CERTIFICATE,['Data Engineering']
24,"Data Engineering, Big Data, and Machine Learning on GCP",https://www.coursera.org/specializations/gcp-data-machine-learning,SPECIALIZATION,['Data Engineering']
383,Data Management for Clinical Research,https://www.coursera.org/learn/clinical-data-management,COURSE,['Data Management']
13,Data Science,https://www.coursera.org/specializations/jhu-data-science,SPECIALIZATION,['Data Science']
399,Data Science Math Skills,https://www.coursera.org/learn/datasciencemathskills,COURSE,['Data Science']
198,Data Science Methodology,https://www.coursera.org/learn/data-science-methodology,COURSE,['Data Science']
148,Data Science: Statistics and Machine Learning,https://www.coursera.org/specializations/data-science-statistics-machine-learning,SPECIALIZATION,['Data Science']
686,Data Visualization and Communication with Tableau,https://www.coursera.org/learn/analytics-tableau,COURSE,['Data Visualization']
804,Data Visualization with Advanced Excel,https://www.coursera.org/learn/advanced-excel,COURSE,['Data Visualization']
420,Data Visualization with Python,https://www.coursera.org/learn/python-for-data-visualization,COURSE,['Data Visualization']
431,Natural Language Processing in TensorFlow,https://www.coursera.org/learn/natural-language-processing-tensorflow,COURSE,['Natural Language']
432,Advance Mahine Learning,https://www.udemy.com/course/ultimate-machine-learning-techniques-with-python/,COURSE,['Advance Machine Learning ']
